timegaps,serial,thread1,thread2,thread4,thread8
50,0.408154,0.431605,0.286959,0.201737,0.155047
70,0.573706,0.603834,0.457308,0.273782,0.196111
100,0.987168,1.13739,0.670944,0.429186,0.353938
150,1.83436,2.11692,1.31213,0.794782,0.803189
200,2.92516,2.97113,2.27719,1.36576,0.994472

50,0.374459,0.380638,0.250122,0.171306,0.142053
70,0.547669,0.59308,0.414741,0.297791,0.187056
100,0.943922,1.06319,0.636162,0.411074,0.306907
150,1.76354,1.84725,1.20328,0.848109,0.7989
200,3.26803,3.05326,1.9939,1.27755,0.90073

50,0.32974,0.363118,0.240369,0.179496,0.166059
70,0.579025,0.612069,0.454423,0.25795,0.223898
100,1.03408,1.0833,0.653673,0.429431,0.356313
150,1.7913,1.87039,1.23443,0.849034,0.627298
200,2.71317,2.88262,1.97016,1.27659,0.946923

50,0.363689,0.365331,0.230037,0.200831,0.140162
70,0.610864,0.607209,0.449117,0.281907,0.16426
100,0.966966,1.04332,0.655152,0.426471,0.316135
150,1.70177,1.83533,1.19369,0.838432,0.578931
200,2.88993,2.94257,1.90544,1.33762,0.952408

